control_id,family,title,control_statement,owner_role,evidence_requirement,test_procedure,test_frequency,automation_feasibility,automation_label,automation_rationale,mapped_frameworks,mapping_count
AM-04,Asset Management,Software bill of materials generation and maintenance,"A machine-readable SBOM is generated for every product release and material internal application, in CycloneDX 1.7 or SPDX 3.0.1 format, retained per release and updated on component change.",Product Security Lead,SBOM artifacts per release with format and timestamp; pipeline configuration showing generation is a build step; retention index linking SBOM to release identifier.,"Select three releases. Confirm an SBOM exists, parses against its schema, and lists components matching the build manifest. Confirm the SBOM is retained and retrievable for the oldest supported release.",Per release,5,Evidence generated and validated by machine with no human step,"Generation, schema validation and retention are entirely mechanical once wired into the build.",N53 CSF SOC2 FEDRAMP ISO IEC62443 CIP,10
AC-01,Access Control,Account lifecycle management,"Accounts are created from an authorized request, modified on role change, and disabled within defined intervals of separation, with privileged accounts held to a shorter interval.",Security Engineer (IAM),Joiner/mover/leaver tickets with approvals; HR termination feed reconciled against account state; deprovisioning latency report by account type.,Reconcile all terminations in the period against account state. Compute the latency distribution. Any privileged account active beyond the defined interval after separation is an exception requiring an incident record.,Monthly,4,Evidence extracted by scheduled job; human reviews exceptions only,Reconciliation is automatable once the HR feed is authoritative; approvals remain human.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,17
AC-02,Access Control,Least privilege and role definition,"Access is granted through defined roles carrying the minimum privileges required, with standing privileged access eliminated in favour of time-bound elevation where technically feasible.",Security Engineer (IAM),Role definitions with entitlement contents and approver; standing-privilege inventory with trend; elevation request records.,Enumerate accounts holding tier-0 privileges. Confirm each is either a break-glass account under the break-glass control or has an approved standing-privilege exception. Sample five roles and confirm entitlements match the definition.,Quarterly,3,Evidence extractable on demand; human assembles and attests scope,Enumeration automates; role right-sizing is an analytic exercise with business input.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,16
AC-03,Access Control,Periodic access certification,"Access to in-scope systems is reviewed by an accountable business reviewer on a defined cadence, with revocations executed and verified within a defined interval of the decision.",GRC Analyst,"Campaign records with reviewer identity, decisions and timestamps; revocation tickets with completion evidence; reviewer-level approve-all-rate report.","Select two campaigns. Confirm every entitlement in scope received a decision, that revocations were executed within the interval, and that reviewers with an approve-all rate above the threshold were re-reviewed. Confirm no reviewer certified their own access.",Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Campaign mechanics and revocation verification automate; review quality is the residual human problem and is itself measurable.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,15
AC-04,Access Control,Privileged access brokering and session recording,"Privileged sessions to in-scope systems are brokered through a managed path with credential injection, session recording and automatic credential rotation.",Security Engineer (IAM),Broker configuration export; session recording index with retention; rotation logs; list of privileged targets not yet brokered with acceptance records.,Attempt a direct privileged connection bypassing the broker from a representative network position; the attempt should fail or generate an alert. Confirm recordings exist for a sample of sessions and that credentials rotated after use.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,"Configuration state, rotation and recording completeness are machine-verifiable; the bypass test is a human exercise.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,19
AC-05,Access Control,Remote access control,"Remote access to internal and industrial networks requires multi-factor authentication, terminates at a controlled boundary, and is logged with session attribution.",Network Engineer,Remote access configuration; authentication policy showing factor requirement; session logs with user attribution; list of remote-access paths reconciled against the network diagram.,Enumerate all inbound remote access paths from external scanning and firewall configuration. Confirm each terminates at a controlled boundary and enforces multi-factor authentication. Any undocumented path is a finding.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Path enumeration and policy state automate; reconciliation against intent needs an engineer.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,19
AC-06,Access Control,Separation of duties,"Incompatible duties are identified and enforced so that no single individual can author, approve and deploy a change, or grant and use privileged access, without detection.",GRC Manager,Conflict matrix defining incompatible duty pairs; entitlement analysis showing conflicts; mitigating-control records where a conflict is unavoidable.,Run the conflict matrix against current entitlements. Confirm every detected conflict has a documented mitigating control with evidence it operates. Test one deployment path to confirm the author cannot self-approve.,Quarterly,3,Evidence extractable on demand; human assembles and attests scope,Detection automates once the conflict matrix exists; defining the matrix is business analysis.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 SOX,13
IA-01,Identity,Multi-factor authentication,"Interactive human authentication to in-scope systems requires a second factor, with phishing-resistant factors required for privileged and externally reachable access, and every exemption registered with an expiry.",Security Engineer (IAM),Authentication policy export; enforcement report by population with denominator definition; exemption register with expiry dates.,Confirm the enforcement denominator includes legacy-protocol and shared-station paths. Attempt authentication from an unenrolled context and confirm the challenge. Confirm every exemption has an unexpired registration.,Monthly,5,Evidence generated and validated by machine with no human step,"Policy state and coverage are fully machine-readable; only the denominator definition requires human agreement, and it is the part most often wrong.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,15
IA-02,Identity,Authenticator management,"Credential issuance, strength, storage, rotation and revocation follow a defined standard, and shared or non-attributable credentials are prohibited for privileged use.",Security Engineer (IAM),Credential policy configuration; vault inventory with rotation timestamps; report of accounts with non-expiring or shared credentials and their dispositions.,"Query for accounts with non-expiring credentials, credentials older than the rotation interval, and accounts flagged as shared. Confirm each has a disposition. Confirm no shared credential holds privileged entitlements.",Monthly,5,Evidence generated and validated by machine with no human step,Directory and vault state expose all of this directly.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,14
IA-03,Identity,Non-human identity governance,"Every service account, workload identity and API credential has a named human owner, a documented purpose, a scoped entitlement set, and a rotation or attestation record.",Security Engineer (IAM),"Non-human identity inventory with owner, purpose, entitlements and last rotation; ownerless identity aging report; decommissioning records.",Confirm the inventory reconciles with directory and cloud IAM enumeration. Sample ten identities and confirm the owner acknowledges ownership and the entitlements match the stated purpose. Any ownerless identity older than the threshold is a finding.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,"Enumeration and rotation state automate; ownership attribution is the hard, human part and is where these programs stall.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX,15
CM-01,Configuration,Secure configuration baselines,"Hardening baselines derived from a recognized benchmark are defined per platform, approved, applied at build, and measured for conformance in production.",Platform Engineering Lead,Baseline definitions with benchmark provenance and approved deviations; build images referencing the baseline; conformance scan results by platform.,Scan a sample of production hosts per platform against the baseline. Compute conformance. Confirm each deviation is either an approved baseline exception or a finding with a remediation record.,Monthly,5,Evidence generated and validated by machine with no human step,Conformance scanning is fully automatable; deviation approval is governance.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,19
CM-02,Configuration,Change management and approval,"Changes to production systems follow a documented process with risk assessment, testing, authorization by someone other than the implementer, and a rollback plan.",IT Operations Manager,"Change records with approval identity and timestamp, test evidence, and rollback plan; emergency-change records with post-hoc approval; unauthorized-change detection report.","Sample 25 production changes including 5 emergency changes. Confirm approval preceded implementation (or followed within the emergency window), that the approver differs from the implementer, and that test evidence exists. Reconcile deployed changes against change records to detect unrecorded changes.",Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Ticket-to-deployment reconciliation automates; the approval judgement does not.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX,14
VM-01,Vulnerability Management,Vulnerability scanning coverage,"Authenticated vulnerability scanning covers the in-scope estate on a defined cadence, with coverage measured against the reconciled asset inventory rather than the scanner's own target list.",Security Engineer (Vulnerability),Scan schedules and completion records; coverage report using the inventory as denominator; authentication success rate by platform; list of unscannable assets with compensating controls.,Compare scanned assets against the reconciled inventory. Confirm coverage meets target and that unscanned assets have a documented reason. Verify authenticated scanning actually authenticated by sampling scan detail.,Monthly,5,Evidence generated and validated by machine with no human step,Fully automatable once the inventory denominator exists; without it the coverage number is meaningless regardless of automation.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,14
VM-02,Vulnerability Management,Remediation within severity-based service levels,"Identified vulnerabilities are remediated within intervals set by severity and exposure, with overdue items escalated and any deferral recorded as a time-bound exception.",Security Engineer (Vulnerability),Remediation records with detection and closure timestamps; aging report by severity; escalation records for overdue items; exceptions for accepted vulnerabilities.,"Compute time-to-remediate distributions by severity against the SLA. Confirm overdue items were escalated per policy. Confirm accepted items have valid, unexpired acceptance records with compensating controls.",Monthly,4,Evidence extracted by scheduled job; human reviews exceptions only,Measurement automates; the remediation work and the SLA negotiation do not.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,13
VM-03,Vulnerability Management,Penetration testing,"Independent technical testing is performed at defined intervals against internet-facing systems, internal networks and products, with findings tracked to closure.",Security Manager,Scope document and rules of engagement; test report with methodology; finding tracker with closure evidence; retest results for high-severity findings.,Confirm scope covers the systems the framework requires. Trace each high finding to closure evidence or an acceptance record. Confirm retesting occurred for remediated high findings.,Annual,1,"Manual by nature (judgement, negotiation, or physical observation)",Testing is expert human work; only the finding tracking automates.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,12
SI-01,System Integrity,Endpoint protection and detection,"Endpoints and servers run a managed protection agent in prevention mode, with coverage measured against the reconciled inventory and agent health monitored.",Security Engineer (Endpoint),Agent coverage report reconciled to inventory; policy export showing prevention mode; agent health and last-check-in report; list of unprotected assets with compensating controls.,"Reconcile agent console inventory against the asset inventory in both directions. Confirm prevention mode is enforced, not merely available. Execute a benign detection test on a sample host and confirm the event reaches the console.",Monthly,5,Evidence generated and validated by machine with no human step,"Coverage, policy state and health are console-readable; the reconciliation denominator is the only judgement.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,14
SI-02,System Integrity,Patch management,"Security patches are evaluated, tested and deployed within intervals set by severity and system class, with unpatchable systems compensated and registered.",IT Operations Manager,Patch deployment reports by system class with timestamps; evaluation records for systems on a mandated evaluation cycle; compensating-control records for unpatchable systems.,"Sample systems per class and confirm current patch level against the applicable interval. For regulated cycles, confirm an evaluation record exists within the mandated period even where no patch was applied.",Monthly,4,Evidence extracted by scheduled job; human reviews exceptions only,State and deployment automate; validated and industrial systems require change windows and human coordination.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,13
SI-03,System Integrity,Software authenticity and integrity verification,"Software and firmware installed on production and product systems is verified for authenticity and integrity before installation, using vendor signatures or hash verification.",Platform Engineering Lead,Verification records or pipeline configuration showing signature checks; artifact repository policy; exception records where verification is not technically possible.,Select five recent installations including one firmware update. Confirm verification occurred and was recorded. Attempt to install an unsigned artifact in a test context and confirm it is rejected.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,"Pipeline enforcement is automatable; vendor-supplied industrial firmware often is not, which is where the exceptions concentrate.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX,15
AU-01,Logging,Audit log generation standard,"In-scope systems generate audit records for authentication, privilege use, configuration change and data access, containing the fields required to attribute an action to an identity.",Security Engineer (Detection),Logging standard defining required events and fields; per-platform configuration evidence; log-source inventory with onboarding status against the standard.,Select five platforms. Confirm the required event classes are produced with the required fields. Perform a test action of each class and confirm a corresponding record appears.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Configuration verification automates; defining what must be logged is engineering judgement.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,17
AU-02,Logging,"Log retention, protection and integrity","Audit records are retained for the period required by the most demanding applicable obligation, protected from modification by the subjects they record, and access to them is itself logged.",Security Engineer (Detection),Retention configuration per log store; access control on the log platform; integrity mechanism description; retention-period mapping to each obligation.,Retrieve a record from the earliest retained date and confirm completeness. Confirm administrators of source systems cannot alter or delete records in the log store. Confirm log-platform access is logged.,Annual,4,Evidence extracted by scheduled job; human reviews exceptions only,Retention and access state are readable; obligation mapping requires legal and compliance input.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,18
AU-03,Logging,Security monitoring and detection content,"Security-relevant events are monitored against version-controlled detection content mapped to adversary techniques, with alert disposition recorded and content effectiveness reviewed.",Security Engineer (Detection),Detection content repository with commit history; technique coverage mapping; alert disposition records; tuning change log with rationale.,"Select five detections and confirm each has a documented technique mapping, a test result, and a defined response action. Review disposition records for a sample period and confirm closed-as-false-positive items produced a tuning action or a documented decision not to tune.",Monthly,3,Evidence extractable on demand; human assembles and attests scope,"Content deployment and alert mechanics automate; authorship, tuning judgement and coverage assessment do not.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,15
IR-01,Incident Response,Incident response plan and severity model,"A documented incident response plan defines severity levels, declaration authority, roles, communication paths and regulatory triggers, and is exercised at least annually.",Incident Response Manager,"Current plan with version and approval; severity definitions with declaration authority; exercise report with participants, scenario and identified gaps; gap remediation tracker.","Confirm the plan is within its review period and reflects the current organization. Confirm the annual exercise occurred, included executive participants, and that gaps identified have owners and dates.",Annual,1,"Manual by nature (judgement, negotiation, or physical observation)",Plans and exercises are human artifacts; only version and review tracking automate.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,16
IR-02,Incident Response,"Incident detection, triage and escalation","Security events are triaged against defined criteria, escalated within severity-based intervals, and recorded with a timeline sufficient to reconstruct the response.",Incident Response Manager,"Incident records with detection, triage, escalation and containment timestamps; escalation criteria document; on-call roster covering the stated coverage window.","Select five incidents including one at high severity. Confirm escalation occurred within the interval, that the timeline is reconstructable from records, and that the declared severity matches the criteria.",Quarterly,3,Evidence extractable on demand; human assembles and attests scope,Timestamps and workflow automate; triage judgement is the control.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,17
IR-03,Incident Response,Regulatory and contractual breach notification,"Incidents meeting regulatory or contractual thresholds are assessed for notification obligations and reported within the applicable clock, with the assessment recorded whether or not notification was required.",General Counsel,Notification assessment records including the no-notification determinations with reasoning; submitted notifications with timestamps; obligation matrix showing clocks per regime and contract.,"For every incident in the period at or above the assessment threshold, confirm a documented notification determination exists. For any notification made, confirm it was within the clock. Confirm the obligation matrix covers all regimes in the scope profile.",Per incident,2,Largely manual; automation limited to reminders and workflow state,Clock tracking can be automated once the determination is made; the determination is legal judgement and cannot be.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO CIP GDPR,16
IR-04,Incident Response,Post-incident review and corrective action,"Incidents at or above a defined severity receive a documented review identifying contributing factors and corrective actions with owners and dates, tracked to closure.",Incident Response Manager,Post-incident review documents; corrective action tracker with closure evidence; evidence that recurring contributing factors are escalated.,"Select three qualifying incidents. Confirm a review occurred within the defined interval, that corrective actions have owners and dates, and that overdue actions were escalated. Check whether the same contributing factor appears across multiple reviews.",Quarterly,2,Largely manual; automation limited to reminders and workflow state,Action tracking automates; the analysis is the deliverable and it is entirely human.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,14
CP-01,Resilience,Backup and verified restore,"Backups of in-scope systems and data are taken on a defined schedule, stored with at least one immutable or offline copy, and validated by actual restore tests rather than job-success status.",IT Operations Manager,"Backup job reports; immutability or offline-copy configuration; restore test records naming the system, data set, date, duration and outcome.",Select two Tier-1 systems and require a restore to an isolated environment. Measure actual restore duration against the stated recovery objective. A job-success report alone does not satisfy this test.,Quarterly,3,Evidence extractable on demand; human assembles and attests scope,"Job state automates; restore validation requires an environment and a person, and is the part most often skipped.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,17
CP-02,Resilience,Disaster recovery objectives and testing,"Recovery time and recovery point objectives are defined per system tier from a business impact analysis, and recovery capability is tested against those objectives.",IT Operations Manager,Business impact analysis with tier assignments; documented RTO/RPO per tier; recovery test reports showing achieved versus target; gap remediation plans.,Confirm every Tier-1 system has a documented RTO/RPO traceable to the impact analysis. Review the most recent test and compare achieved recovery to target. Confirm gaps have funded plans.,Annual,2,Largely manual; automation limited to reminders and workflow state,Test execution and measurement are largely manual exercises involving business stakeholders.,N53 CSF SOC2 HIPAA FEDRAMP ISO IEC62443 CIP SOX GDPR,16
DP-01,Data Protection,Encryption in transit,"Data in transit across untrusted networks, and regulated data across internal networks, is protected with current cryptographic protocols and validated certificate handling.",Network Engineer,Protocol and cipher configuration per service; external scan results showing negotiated protocols; certificate inventory with expiry monitoring; exception records for legacy paths.,"Scan in-scope endpoints and confirm deprecated protocol versions and weak ciphers are refused. Confirm certificates are valid, in-date and issued by an approved authority. Confirm legacy exceptions are registered.",Quarterly,5,Evidence generated and validated by machine with no human step,Scanning and certificate inventory are fully automatable.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,14
DP-02,Data Protection,Encryption at rest,"Regulated and sensitive data at rest is encrypted with approved algorithms, with key access separated from data access.",Platform Engineering Lead,Encryption configuration per data store; algorithm and key-length evidence; key access policy showing separation from data-plane roles; inventory of unencrypted stores with acceptance.,Enumerate data stores from the data inventory and confirm encryption state for each. Confirm that a data-plane administrator cannot retrieve keys. Any unencrypted regulated store is a finding.,Quarterly,5,Evidence generated and validated by machine with no human step,"Cloud and database platforms expose encryption state directly; the only gap is knowing which stores exist, which is AM-03's problem.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,13
DP-03,Data Protection,Cryptographic key management,"Cryptographic keys are generated, stored, rotated, revoked and destroyed under a documented policy, with access restricted and all key operations logged.",Security Engineer (Platform),"Key management policy; key inventory with type, purpose, owner, creation and rotation dates; key-store access logs; rotation and destruction records.","Sample five keys across purposes. Confirm rotation occurred within the policy interval, that access is restricted to authorized roles, and that key operations appear in the log. Confirm destroyed keys are recorded as destroyed.",Semi-annual,4,Evidence extracted by scheduled job; human reviews exceptions only,Managed key services expose lifecycle state; policy definition and exception handling are human.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 GDPR,12
DP-04,Data Protection,Data retention and secure disposal,"Data is retained no longer than its defined retention period and is disposed of using methods that prevent reconstruction, with disposal recorded for regulated data and media.",Data Governance Lead,Retention schedule by data type with legal basis; deletion job records or certificates of destruction; media sanitization records; legal-hold register showing suspended deletions.,"Select three data types and confirm data older than the retention period is absent, or covered by a documented legal hold. Confirm media disposal in the period produced sanitization records.",Semi-annual,3,Evidence extractable on demand; human assembles and attests scope,Automated deletion is achievable in modern stores and rarely implemented in legacy ones; physical media disposal is manual by nature.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,17
PS-01,Personnel,Personnel screening and access authorization,"Personnel are screened commensurate with the sensitivity of the access they will hold, before access is granted, and re-screened where the regime requires it.",HR Business Partner,Screening completion records linked to access grant dates; role-to-screening-level matrix; re-screening records where required; contractor screening attestations.,Sample ten access grants to sensitive systems and confirm screening completed before the grant date at the required level. Confirm contractor screening attestations exist and are current.,Annual,2,Largely manual; automation limited to reminders and workflow state,Completion state can be tracked in HR systems; the screening itself and its adjudication are human processes with legal constraints that vary by jurisdiction.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,12
PS-02,Personnel,Role-based security competence,"Personnel in roles with security responsibilities receive role-specific training appropriate to those responsibilities, with completion tracked and competence assessed for specialized roles.",GRC Manager,Role-to-curriculum mapping; completion records by role; assessment results for specialized roles such as secure development and industrial control engineering.,"Confirm every role in the mapping has an assigned curriculum and that completion meets the threshold. For specialized roles, confirm competence was assessed rather than only attended.",Annual,4,Evidence extracted by scheduled job; human reviews exceptions only,Completion tracking automates; competence assessment requires role-specific evaluation.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,13
PE-01,Physical,Physical access control,"Physical access to facilities, data centres, control rooms and network cabinets is restricted, logged, reviewed, and revoked on separation or role change.",Facilities Manager,Badge system access lists by zone; access logs; periodic review records; revocation records reconciled against HR separations; visitor logs for restricted zones.,Reconcile badge access for restricted zones against current authorization. Confirm separations in the period resulted in badge deactivation within the interval. Observe whether tailgating controls operate at one restricted entrance.,Quarterly,3,Evidence extractable on demand; human assembles and attests scope,Badge state and reconciliation automate; physical observation of control effectiveness does not.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,16
PE-02,Physical,Media handling and removable media control,"Removable media use is restricted by policy and technical control, media containing regulated data is tracked, and media entering industrial environments is scanned before connection.",Security Engineer (Endpoint),Endpoint policy showing removable media restrictions; exception register; industrial media scanning station records; media tracking log for regulated data.,Attempt to write to removable media from a standard endpoint and from an industrial workstation and confirm the policy result. Confirm scanning station records exist for the period. Confirm exceptions are registered with expiry.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Endpoint policy state automates; the industrial scanning step is a procedural control depending on operator behaviour.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,14
SA-01,Secure Development,Secure development lifecycle gates,"Product and application development follows a defined lifecycle with security requirements, threat modelling, security testing and a release gate that records the disposition of open findings.",Product Security Lead,Lifecycle procedure; threat models per product with review dates; gate records per release showing open findings and their disposition; evidence of gate enforcement in the pipeline.,"Select two releases. Confirm a threat model exists and was reviewed within the period, that the gate record lists open findings with dispositions, and that any override carries a named approver.",Per release,3,Evidence extractable on demand; human assembles and attests scope,Gate enforcement automates; threat modelling is expert work and is the input the gate depends on.,N53 CSF SOC2 FEDRAMP ISO IEC62443 SOX GDPR,14
