control_id,control_title,framework_key,framework_name,framework_control_id,mapping_strength,mapping_note
GV-02,"Security roles, responsibilities and decision authority",IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-2-1 4.3.2,full,
GV-02,"Security roles, responsibilities and decision authority",CIP,NERC CIP,CIP-003-8 R3,full,
GV-02,"Security roles, responsibilities and decision authority",SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-GOV-02,full,
GV-02,"Security roles, responsibilities and decision authority",GDPR,GDPR (Regulation (EU) 2016/679),Art.24,partial,
GV-02,"Security roles, responsibilities and decision authority",GDPR,GDPR (Regulation (EU) 2016/679),Art.37,supporting,
GV-03,Risk acceptance and exception governance,N53,NIST SP 800-53 Rev 5,CA-5,full,
GV-03,Risk acceptance and exception governance,N53,NIST SP 800-53 Rev 5,PM-9,partial,
GV-03,Risk acceptance and exception governance,N53,NIST SP 800-53 Rev 5,RA-3,supporting,
GV-03,Risk acceptance and exception governance,CSF,NIST CSF 2.0,GV.RM-05,full,
GV-03,Risk acceptance and exception governance,CSF,NIST CSF 2.0,GV.OV-03,partial,
GV-03,Risk acceptance and exception governance,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC3.2,partial,
GV-03,Risk acceptance and exception governance,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC9.1,partial,
GV-03,Risk acceptance and exception governance,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(1)(ii)(B),partial,
GV-03,Risk acceptance and exception governance,FEDRAMP,FedRAMP Moderate baseline,CA-5,full,M
GV-03,Risk acceptance and exception governance,CMMC,CMMC 2.0 Level 2,CA.L2-3.12.2,full,
GV-03,Risk acceptance and exception governance,ISO,ISO/IEC 27001:2022 Annex A,A.5.4,supporting,
GV-03,Risk acceptance and exception governance,ISO,ISO/IEC 27001:2022 Annex A,6.1.3(d),full,
GV-03,Risk acceptance and exception governance,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-2-1 4.2.3.7,full,
GV-03,Risk acceptance and exception governance,CIP,NERC CIP,CIP-003-8 R2,partial,
GV-03,Risk acceptance and exception governance,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-GOV-03,partial,
GV-03,Risk acceptance and exception governance,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1),supporting,
GV-04,Compliance obligation register,N53,NIST SP 800-53 Rev 5,PM-1,partial,
GV-04,Compliance obligation register,N53,NIST SP 800-53 Rev 5,PL-2,supporting,
GV-04,Compliance obligation register,CSF,NIST CSF 2.0,GV.OC-03,full,
GV-04,Compliance obligation register,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC2.3,partial,
GV-04,Compliance obligation register,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC3.1,partial,
GV-04,Compliance obligation register,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.316(a),partial,
GV-04,Compliance obligation register,FEDRAMP,FedRAMP Moderate baseline,PL-2,supporting,M
GV-04,Compliance obligation register,ISO,ISO/IEC 27001:2022 Annex A,A.5.31,full,
GV-04,Compliance obligation register,ISO,ISO/IEC 27001:2022 Annex A,A.5.32,partial,
GV-04,Compliance obligation register,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-2-1 4.2.2.3,partial,
GV-04,Compliance obligation register,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-GOV-04,partial,
GV-04,Compliance obligation register,GDPR,GDPR (Regulation (EU) 2016/679),Art.30,partial,
GV-04,Compliance obligation register,GDPR,GDPR (Regulation (EU) 2016/679),Art.24,partial,
RM-01,Enterprise security risk assessment,N53,NIST SP 800-53 Rev 5,RA-3,full,
RM-01,Enterprise security risk assessment,N53,NIST SP 800-53 Rev 5,PM-9,partial,
RM-01,Enterprise security risk assessment,CSF,NIST CSF 2.0,ID.RA-01,full,
RM-01,Enterprise security risk assessment,CSF,NIST CSF 2.0,ID.RA-04,partial,
RM-01,Enterprise security risk assessment,CSF,NIST CSF 2.0,GV.RM-01,partial,
RM-01,Enterprise security risk assessment,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC3.1,full,
RM-01,Enterprise security risk assessment,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC3.2,full,
RM-01,Enterprise security risk assessment,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(1)(ii)(A),full,
RM-01,Enterprise security risk assessment,FEDRAMP,FedRAMP Moderate baseline,RA-3,full,M
RM-01,Enterprise security risk assessment,CMMC,CMMC 2.0 Level 2,RA.L2-3.11.1,full,
RM-01,Enterprise security risk assessment,ISO,ISO/IEC 27001:2022 Annex A,6.1.2,full,
RM-01,Enterprise security risk assessment,ISO,ISO/IEC 27001:2022 Annex A,A.5.7,supporting,
RM-01,Enterprise security risk assessment,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-2 ZCR 2,full,
RM-01,Enterprise security risk assessment,CIP,NERC CIP,CIP-002-5.1a R1,partial,
RM-01,Enterprise security risk assessment,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-RSK-01,partial,
RM-01,Enterprise security risk assessment,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1),partial,
RM-01,Enterprise security risk assessment,GDPR,GDPR (Regulation (EU) 2016/679),Art.35,supporting,
RM-02,Risk register and treatment tracking,N53,NIST SP 800-53 Rev 5,PM-9,full,
RM-02,Risk register and treatment tracking,N53,NIST SP 800-53 Rev 5,RA-7,full,
RM-02,Risk register and treatment tracking,CSF,NIST CSF 2.0,GV.RM-03,full,
RM-02,Risk register and treatment tracking,CSF,NIST CSF 2.0,ID.RA-05,partial,
RM-02,Risk register and treatment tracking,CSF,NIST CSF 2.0,ID.RA-06,full,
RM-02,Risk register and treatment tracking,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC3.2,partial,
RM-02,Risk register and treatment tracking,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC4.2,partial,
RM-02,Risk register and treatment tracking,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(1)(ii)(B),full,
RM-02,Risk register and treatment tracking,FEDRAMP,FedRAMP Moderate baseline,RA-7,full,M
RM-02,Risk register and treatment tracking,CMMC,CMMC 2.0 Level 2,RA.L2-3.11.1,partial,
RM-02,Risk register and treatment tracking,ISO,ISO/IEC 27001:2022 Annex A,6.1.3,full,
RM-02,Risk register and treatment tracking,ISO,ISO/IEC 27001:2022 Annex A,A.5.7,supporting,
RM-02,Risk register and treatment tracking,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-2-1 4.2.3,full,
RM-02,Risk register and treatment tracking,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-RSK-02,partial,
RM-02,Risk register and treatment tracking,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(2),supporting,
RM-03,System categorization and impact levels,N53,NIST SP 800-53 Rev 5,RA-2,full,
RM-03,System categorization and impact levels,N53,NIST SP 800-53 Rev 5,CM-8,supporting,
RM-03,System categorization and impact levels,CSF,NIST CSF 2.0,ID.AM-05,full,
RM-03,System categorization and impact levels,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC3.2,supporting,
RM-03,System categorization and impact levels,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(7)(ii)(E),partial,
RM-03,System categorization and impact levels,FEDRAMP,FedRAMP Moderate baseline,RA-2,full,M
RM-03,System categorization and impact levels,ISO,ISO/IEC 27001:2022 Annex A,A.5.12,partial,
RM-03,System categorization and impact levels,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-2 ZCR 3,full,SL-T assignment
RM-03,System categorization and impact levels,CIP,NERC CIP,CIP-002-5.1a R1,full,
RM-03,System categorization and impact levels,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-SCP-01,full,
RM-03,System categorization and impact levels,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(b),supporting,
AM-01,Hardware asset inventory,N53,NIST SP 800-53 Rev 5,CM-8,full,
AM-01,Hardware asset inventory,N53,NIST SP 800-53 Rev 5,PM-5,partial,
AM-01,Hardware asset inventory,CSF,NIST CSF 2.0,ID.AM-01,full,
AM-01,Hardware asset inventory,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.1,partial,
AM-01,Hardware asset inventory,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.310(d)(1),partial,
AM-01,Hardware asset inventory,FEDRAMP,FedRAMP Moderate baseline,CM-8,full,M
AM-01,Hardware asset inventory,CMMC,CMMC 2.0 Level 2,CM.L2-3.4.1,partial,
AM-01,Hardware asset inventory,ISO,ISO/IEC 27001:2022 Annex A,A.5.9,full,
AM-01,Hardware asset inventory,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-2-1 4.2.3.4,full,
AM-01,Hardware asset inventory,CIP,NERC CIP,CIP-002-5.1a R1,partial,
AM-01,Hardware asset inventory,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-SCP-02,supporting,
AM-02,Software inventory and authorized software,N53,NIST SP 800-53 Rev 5,CM-7(5),full,
AM-02,Software inventory and authorized software,N53,NIST SP 800-53 Rev 5,CM-8,partial,
AM-02,Software inventory and authorized software,N53,NIST SP 800-53 Rev 5,SI-2,supporting,
AM-02,Software inventory and authorized software,CSF,NIST CSF 2.0,ID.AM-02,full,
AM-02,Software inventory and authorized software,CSF,NIST CSF 2.0,PR.PS-02,partial,
AM-02,Software inventory and authorized software,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.8,partial,
AM-02,Software inventory and authorized software,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(5)(ii)(B),partial,
AM-02,Software inventory and authorized software,FEDRAMP,FedRAMP Moderate baseline,CM-7(5),full,M
AM-02,Software inventory and authorized software,CMMC,CMMC 2.0 Level 2,CM.L2-3.4.8,full,
AM-02,Software inventory and authorized software,ISO,ISO/IEC 27001:2022 Annex A,A.8.19,full,
AM-02,Software inventory and authorized software,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 7.7,partial,
AM-02,Software inventory and authorized software,CIP,NERC CIP,CIP-010-4 R1.1,partial,
AM-02,Software inventory and authorized software,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-CHG-05,supporting,
AM-03,Data inventory and classification,N53,NIST SP 800-53 Rev 5,CM-8,partial,
AM-03,Data inventory and classification,N53,NIST SP 800-53 Rev 5,RA-2,partial,
AM-03,Data inventory and classification,N53,NIST SP 800-53 Rev 5,PM-5(1),full,
AM-03,Data inventory and classification,CSF,NIST CSF 2.0,ID.AM-07,full,
AM-03,Data inventory and classification,CSF,NIST CSF 2.0,ID.AM-08,partial,
AM-03,Data inventory and classification,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.1,partial,
AM-03,Data inventory and classification,SOC2,"SOC 2 (TSC 2017, rev. 2022)",C1.1,full,
AM-03,Data inventory and classification,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(1)(ii)(A),partial,
AM-03,Data inventory and classification,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.310(d)(2)(iii),supporting,
AM-03,Data inventory and classification,FEDRAMP,FedRAMP Moderate baseline,PM-5(1),partial,
AM-03,Data inventory and classification,CMMC,CMMC 2.0 Level 2,MP.L2-3.8.1,partial,
AM-03,Data inventory and classification,ISO,ISO/IEC 27001:2022 Annex A,A.5.12,full,
AM-03,Data inventory and classification,ISO,ISO/IEC 27001:2022 Annex A,A.5.13,partial,
AM-03,Data inventory and classification,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-SCP-03,partial,
AM-03,Data inventory and classification,GDPR,GDPR (Regulation (EU) 2016/679),Art.30,full,
AM-03,Data inventory and classification,GDPR,GDPR (Regulation (EU) 2016/679),Art.5(1)(e),partial,
AM-04,Software bill of materials generation and maintenance,N53,NIST SP 800-53 Rev 5,SA-15,partial,
AM-04,Software bill of materials generation and maintenance,N53,NIST SP 800-53 Rev 5,SR-4,partial,
AM-04,Software bill of materials generation and maintenance,N53,NIST SP 800-53 Rev 5,CM-8,supporting,
AM-04,Software bill of materials generation and maintenance,CSF,NIST CSF 2.0,ID.AM-08,partial,
AM-04,Software bill of materials generation and maintenance,CSF,NIST CSF 2.0,GV.SC-04,partial,
AM-04,Software bill of materials generation and maintenance,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC8.1,supporting,
AM-04,Software bill of materials generation and maintenance,FEDRAMP,FedRAMP Moderate baseline,SR-4,partial,M
AM-04,Software bill of materials generation and maintenance,ISO,ISO/IEC 27001:2022 Annex A,A.8.30,supporting,
AM-04,Software bill of materials generation and maintenance,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-4-1 SM-9,full,
AM-04,Software bill of materials generation and maintenance,CIP,NERC CIP,CIP-013-2 R1.2.5,partial,
AC-01,Account lifecycle management,N53,NIST SP 800-53 Rev 5,AC-2,full,
AC-01,Account lifecycle management,N53,NIST SP 800-53 Rev 5,AC-2(3),partial,
AC-01,Account lifecycle management,N53,NIST SP 800-53 Rev 5,PS-4,partial,
AC-01,Account lifecycle management,CSF,NIST CSF 2.0,PR.AA-01,full,
AC-01,Account lifecycle management,CSF,NIST CSF 2.0,PR.AA-05,partial,
AC-01,Account lifecycle management,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.2,full,
AC-01,Account lifecycle management,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.3,full,
AC-01,Account lifecycle management,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(3)(ii)(C),full,
AC-01,Account lifecycle management,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(4)(ii)(B),partial,
AC-01,Account lifecycle management,FEDRAMP,FedRAMP Moderate baseline,AC-2,full,M
AC-01,Account lifecycle management,CMMC,CMMC 2.0 Level 2,AC.L2-3.1.1,partial,
AC-01,Account lifecycle management,ISO,ISO/IEC 27001:2022 Annex A,A.5.16,full,
AC-01,Account lifecycle management,ISO,ISO/IEC 27001:2022 Annex A,A.5.18,partial,
AC-01,Account lifecycle management,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 1.3,full,
AC-01,Account lifecycle management,CIP,NERC CIP,CIP-004-6 R5,full,
AC-01,Account lifecycle management,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-01,full,
AC-01,Account lifecycle management,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(b),supporting,
AC-02,Least privilege and role definition,N53,NIST SP 800-53 Rev 5,AC-6,full,
AC-02,Least privilege and role definition,N53,NIST SP 800-53 Rev 5,AC-6(5),partial,
AC-02,Least privilege and role definition,N53,NIST SP 800-53 Rev 5,AC-6(7),partial,
AC-02,Least privilege and role definition,CSF,NIST CSF 2.0,PR.AA-05,full,
AC-02,Least privilege and role definition,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.1,full,
AC-02,Least privilege and role definition,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.3,partial,
AC-02,Least privilege and role definition,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(4)(ii)(A),partial,
AC-02,Least privilege and role definition,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.312(a)(1),partial,
AC-02,Least privilege and role definition,FEDRAMP,FedRAMP Moderate baseline,AC-6,full,M
AC-02,Least privilege and role definition,CMMC,CMMC 2.0 Level 2,AC.L2-3.1.5,full,
AC-02,Least privilege and role definition,ISO,ISO/IEC 27001:2022 Annex A,A.8.2,full,
AC-02,Least privilege and role definition,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 2.1,full,
AC-02,Least privilege and role definition,CIP,NERC CIP,CIP-004-6 R4.1,full,
AC-02,Least privilege and role definition,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-02,full,
AC-02,Least privilege and role definition,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(b),supporting,
AC-02,Least privilege and role definition,GDPR,GDPR (Regulation (EU) 2016/679),Art.5(1)(f),supporting,
AC-03,Periodic access certification,N53,NIST SP 800-53 Rev 5,AC-2(j),full,
AC-03,Periodic access certification,N53,NIST SP 800-53 Rev 5,AC-6(7),full,
AC-03,Periodic access certification,CSF,NIST CSF 2.0,PR.AA-05,partial,
AC-03,Periodic access certification,CSF,NIST CSF 2.0,GV.OV-02,supporting,
AC-03,Periodic access certification,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.2,full,
AC-03,Periodic access certification,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.3,full,
AC-03,Periodic access certification,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(4)(ii)(C),full,
AC-03,Periodic access certification,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(3)(ii)(B),partial,
AC-03,Periodic access certification,FEDRAMP,FedRAMP Moderate baseline,AC-2(j),full,M
AC-03,Periodic access certification,CMMC,CMMC 2.0 Level 2,AC.L2-3.1.1,partial,
AC-03,Periodic access certification,ISO,ISO/IEC 27001:2022 Annex A,A.5.18,full,
AC-03,Periodic access certification,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-2-1 4.3.3.5,partial,
AC-03,Periodic access certification,CIP,NERC CIP,CIP-004-6 R4.3,full,
AC-03,Periodic access certification,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-03,full,
AC-03,Periodic access certification,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(d),partial,
AC-04,Privileged access brokering and session recording,N53,NIST SP 800-53 Rev 5,AC-2(7),full,
AC-04,Privileged access brokering and session recording,N53,NIST SP 800-53 Rev 5,AC-6(9),full,
AC-04,Privileged access brokering and session recording,N53,NIST SP 800-53 Rev 5,AU-14,partial,
AC-04,Privileged access brokering and session recording,CSF,NIST CSF 2.0,PR.AA-05,partial,
AC-04,Privileged access brokering and session recording,CSF,NIST CSF 2.0,PR.PS-01,supporting,
AC-04,Privileged access brokering and session recording,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.1,partial,
AC-04,Privileged access brokering and session recording,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.6,partial,
AC-04,Privileged access brokering and session recording,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.312(a)(2)(i),partial,
AC-04,Privileged access brokering and session recording,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.312(b),partial,
AC-04,Privileged access brokering and session recording,FEDRAMP,FedRAMP Moderate baseline,AC-6(9),full,M
AC-04,Privileged access brokering and session recording,CMMC,CMMC 2.0 Level 2,AC.L2-3.1.7,full,
AC-04,Privileged access brokering and session recording,ISO,ISO/IEC 27001:2022 Annex A,A.8.2,partial,
AC-04,Privileged access brokering and session recording,ISO,ISO/IEC 27001:2022 Annex A,A.8.18,full,
AC-04,Privileged access brokering and session recording,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 1.5,full,
AC-04,Privileged access brokering and session recording,IEC62443,ISA/IEC 62443-3-3 / -2-1,SR 2.5,partial,
AC-04,Privileged access brokering and session recording,CIP,NERC CIP,CIP-005-6 R2.1,partial,
AC-04,Privileged access brokering and session recording,CIP,NERC CIP,CIP-007-6 R5.1,partial,
AC-04,Privileged access brokering and session recording,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-04,full,
AC-04,Privileged access brokering and session recording,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(b),supporting,
AC-05,Remote access control,N53,NIST SP 800-53 Rev 5,AC-17,full,
AC-05,Remote access control,N53,NIST SP 800-53 Rev 5,AC-17(2),partial,
AC-05,Remote access control,N53,NIST SP 800-53 Rev 5,IA-2(1),partial,
AC-05,Remote access control,CSF,NIST CSF 2.0,PR.AA-03,partial,
AC-05,Remote access control,CSF,NIST CSF 2.0,PR.IR-01,partial,
AC-05,Remote access control,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.6,full,
AC-05,Remote access control,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.7,partial,
AC-05,Remote access control,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.312(e)(1),partial,
AC-05,Remote access control,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(4),supporting,
AC-05,Remote access control,FEDRAMP,FedRAMP Moderate baseline,AC-17,full,M
AC-05,Remote access control,CMMC,CMMC 2.0 Level 2,AC.L2-3.1.12,full,
AC-05,Remote access control,CMMC,CMMC 2.0 Level 2,AC.L2-3.1.13,partial,
AC-05,Remote access control,ISO,ISO/IEC 27001:2022 Annex A,A.6.7,partial,
AC-05,Remote access control,ISO,ISO/IEC 27001:2022 Annex A,A.8.20,partial,
AC-05,Remote access control,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 1.13,full,
AC-05,Remote access control,IEC62443,ISA/IEC 62443-3-3 / -2-1,SR 2.6,partial,
AC-05,Remote access control,CIP,NERC CIP,CIP-005-6 R2,full,
AC-05,Remote access control,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-05,partial,
AC-05,Remote access control,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(b),supporting,
AC-06,Separation of duties,N53,NIST SP 800-53 Rev 5,AC-5,full,
AC-06,Separation of duties,N53,NIST SP 800-53 Rev 5,CM-5,partial,
AC-06,Separation of duties,CSF,NIST CSF 2.0,PR.AA-05,partial,
AC-06,Separation of duties,CSF,NIST CSF 2.0,GV.RR-02,supporting,
AC-06,Separation of duties,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC5.2,partial,
AC-06,Separation of duties,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.3,partial,
AC-06,Separation of duties,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC8.1,partial,
AC-06,Separation of duties,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(3)(ii)(A),partial,
AC-06,Separation of duties,FEDRAMP,FedRAMP Moderate baseline,AC-5,full,M
AC-06,Separation of duties,CMMC,CMMC 2.0 Level 2,AC.L2-3.1.4,full,
AC-06,Separation of duties,ISO,ISO/IEC 27001:2022 Annex A,A.5.3,full,
AC-06,Separation of duties,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 2.1 RE 1,partial,
AC-06,Separation of duties,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-06,full,
IA-01,Multi-factor authentication,N53,NIST SP 800-53 Rev 5,IA-2(1),full,
IA-01,Multi-factor authentication,N53,NIST SP 800-53 Rev 5,IA-2(2),full,
IA-01,Multi-factor authentication,N53,NIST SP 800-53 Rev 5,IA-2(6),partial,
IA-01,Multi-factor authentication,CSF,NIST CSF 2.0,PR.AA-03,full,
IA-01,Multi-factor authentication,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.1,full,
IA-01,Multi-factor authentication,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.6,partial,
IA-01,Multi-factor authentication,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.312(d),full,
IA-01,Multi-factor authentication,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(5)(ii)(D),partial,
IA-01,Multi-factor authentication,FEDRAMP,FedRAMP Moderate baseline,IA-2(1),full,M
IA-01,Multi-factor authentication,CMMC,CMMC 2.0 Level 2,IA.L2-3.5.3,full,
IA-01,Multi-factor authentication,ISO,ISO/IEC 27001:2022 Annex A,A.8.5,full,
IA-01,Multi-factor authentication,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 1.1 RE 1,full,
IA-01,Multi-factor authentication,CIP,NERC CIP,CIP-005-6 R2.3,full,
IA-01,Multi-factor authentication,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-07,partial,
IA-01,Multi-factor authentication,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(b),supporting,
IA-02,Authenticator management,N53,NIST SP 800-53 Rev 5,IA-5,full,
IA-02,Authenticator management,N53,NIST SP 800-53 Rev 5,IA-5(1),full,
IA-02,Authenticator management,CSF,NIST CSF 2.0,PR.AA-01,partial,
IA-02,Authenticator management,CSF,NIST CSF 2.0,PR.AA-02,partial,
IA-02,Authenticator management,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC6.1,partial,
IA-02,Authenticator management,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(5)(ii)(D),full,
IA-02,Authenticator management,FEDRAMP,FedRAMP Moderate baseline,IA-5,full,M
IA-02,Authenticator management,CMMC,CMMC 2.0 Level 2,IA.L2-3.5.7,full,
IA-02,Authenticator management,ISO,ISO/IEC 27001:2022 Annex A,A.5.17,full,
IA-02,Authenticator management,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-3-3 SR 1.5,full,
IA-02,Authenticator management,IEC62443,ISA/IEC 62443-3-3 / -2-1,SR 1.7,partial,
IA-02,Authenticator management,CIP,NERC CIP,CIP-007-6 R5.5,full,
IA-02,Authenticator management,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-ACC-08,partial,
IA-02,Authenticator management,GDPR,GDPR (Regulation (EU) 2016/679),Art.32(1)(b),supporting,
IA-03,Non-human identity governance,N53,NIST SP 800-53 Rev 5,AC-2,partial,
